"OTU","Sample","Abundance","Kingdom","Phylum","Class","Order"
"1b039cbaab99f38bec0461ac24d07eec","S00PP-0017",92.3584839974934,"teria","teroidota","teroidia","teroidales"
"1b039cbaab99f38bec0461ac24d07eec","S00PP-0027",91.1047053342651,"teria","teroidota","teroidia","teroidales"
"1b039cbaab99f38bec0461ac24d07eec","S00PP-0022",90.7006078823419,"teria","teroidota","teroidia","teroidales"
"1b039cbaab99f38bec0461ac24d07eec","S00PP-0023",90.4253834343936,"teria","teroidota","teroidia","teroidales"
"1b039cbaab99f38bec0461ac24d07eec","S00PP-0015",89.5633752648057,"teria","teroidota","teroidia","teroidales"
"1b039cbaab99f38bec0461ac24d07eec","S00PP-0013",87.8967812590907,"teria","teroidota","teroidia","teroidales"
"1b039cbaab99f38bec0461ac24d07eec","S00PP-0025",87.5113448101995,"teria","teroidota","teroidia","teroidales"
"1b039cbaab99f38bec0461ac24d07eec","S00PP-0026",85.0312128418549,"teria","teroidota","teroidia","teroidales"
"1b039cbaab99f38bec0461ac24d07eec","S00PP-0014",84.8427479123556,"teria","teroidota","teroidia","teroidales"
"1b039cbaab99f38bec0461ac24d07eec","S00PP-0008",84.0801543389633,"teria","teroidota","teroidia","teroidales"
"1b039cbaab99f38bec0461ac24d07eec","S00PP-0019",83.880149302064,"teria","teroidota","teroidia","teroidales"
"1b039cbaab99f38bec0461ac24d07eec","S00PP-0006",83.0667640526481,"teria","teroidota","teroidia","teroidales"
"1b039cbaab99f38bec0461ac24d07eec","S00PP-0030",82.2420300898442,"teria","teroidota","teroidia","teroidales"
"1b039cbaab99f38bec0461ac24d07eec","S00PP-0003",76.899193750313,"teria","teroidota","teroidia","teroidales"
"1b039cbaab99f38bec0461ac24d07eec","S00PP-0021",75.5245753437693,"teria","teroidota","teroidia","teroidales"
"1b039cbaab99f38bec0461ac24d07eec","S00PP-0028",74.1417820693447,"teria","teroidota","teroidia","teroidales"
"1b039cbaab99f38bec0461ac24d07eec","S00PP-0001",74.0903467986179,"teria","teroidota","teroidia","teroidales"
"1b039cbaab99f38bec0461ac24d07eec","S00PP-0009",72.668311464992,"teria","teroidota","teroidia","teroidales"
"1b039cbaab99f38bec0461ac24d07eec","S00PP-0002",72.1827846931026,"teria","teroidota","teroidia","teroidales"
"1b039cbaab99f38bec0461ac24d07eec","S00PP-0020",70.6002754610146,"teria","teroidota","teroidia","teroidales"
"1b039cbaab99f38bec0461ac24d07eec","S00PP-0024",70.5475088136601,"teria","teroidota","teroidia","teroidales"
"1b039cbaab99f38bec0461ac24d07eec","S00PP-0018",69.6980872713862,"teria","teroidota","teroidia","teroidales"
"1b039cbaab99f38bec0461ac24d07eec","S00PP-0012",69.5220962435203,"teria","teroidota","teroidia","teroidales"
"1b039cbaab99f38bec0461ac24d07eec","S00PP-0010",67.8041282389108,"teria","teroidota","teroidia","teroidales"
"1b039cbaab99f38bec0461ac24d07eec","S00PP-0029",67.409061901723,"teria","teroidota","teroidia","teroidales"
"1b039cbaab99f38bec0461ac24d07eec","S00PP-0004",67.1714035506727,"teria","teroidota","teroidia","teroidales"
"1b039cbaab99f38bec0461ac24d07eec","S00PP-0011",65.5629528098688,"teria","teroidota","teroidia","teroidales"
"1b039cbaab99f38bec0461ac24d07eec","S00PP-0007",61.7433701985967,"teria","teroidota","teroidia","teroidales"
"1b039cbaab99f38bec0461ac24d07eec","S00PP-0005",60.9559121225681,"teria","teroidota","teroidia","teroidales"
"1b039cbaab99f38bec0461ac24d07eec","S00PP-0016",59.8569060291423,"teria","teroidota","teroidia","teroidales"
"ef26904830b91caa86a460c041c77fd4","S00PP-0016",27.1477183491842,"teria","rucomicrobiota","rucomicrobiae","rucomicrobiales"
"2bf1dfcdeca6629135f4014f138344ae","S00PP-0010",26.7391304347826,"teria","micutes","illi","tobacillales"
"2bf1dfcdeca6629135f4014f138344ae","S00PP-0011",18.0360289798316,"teria","micutes","illi","tobacillales"
"2bf1dfcdeca6629135f4014f138344ae","S00PP-0005",18.0187091137676,"teria","micutes","illi","tobacillales"
"3ab61ffb86b753b43f425d630a87e7a1","S00PP-0007",14.823403496254,"teria","nobacteria","pirivibrionia","tranaerophilales"
"abdbe368fbd4c7c608e05ef71713340a","S00PP-0003",14.4590782379355,"teria","micutes","stridia","hnospirales"
"abdbe368fbd4c7c608e05ef71713340a","S00PP-0004",14.3985351484754,"teria","micutes","stridia","hnospirales"
"2bf1dfcdeca6629135f4014f138344ae","S00PP-0024",13.7705475088137,"teria","micutes","illi","tobacillales"
"2bf1dfcdeca6629135f4014f138344ae","S00PP-0004",13.1136056046493,"teria","micutes","illi","tobacillales"
"2bf1dfcdeca6629135f4014f138344ae","S00PP-0012",12.8103770681942,"teria","micutes","illi","tobacillales"
"abdbe368fbd4c7c608e05ef71713340a","S00PP-0029",12.769623484365,"teria","micutes","stridia","hnospirales"
"ef26904830b91caa86a460c041c77fd4","S00PP-0029",11.3507764305467,"teria","rucomicrobiota","rucomicrobiae","rucomicrobiales"
"abdbe368fbd4c7c608e05ef71713340a","S00PP-0002",10.3097038333278,"teria","micutes","stridia","hnospirales"
"abdbe368fbd4c7c608e05ef71713340a","S00PP-0007",9.47001228842114,"teria","micutes","stridia","hnospirales"
"abdbe368fbd4c7c608e05ef71713340a","S00PP-0020",9.04621623689647,"teria","micutes","stridia","hnospirales"
"ef26904830b91caa86a460c041c77fd4","S00PP-0028",8.71275901171781,"teria","rucomicrobiota","rucomicrobiae","rucomicrobiales"
"abdbe368fbd4c7c608e05ef71713340a","S00PP-0005",8.39139977412687,"teria","micutes","stridia","hnospirales"
"abdbe368fbd4c7c608e05ef71713340a","S00PP-0009",8.34361332286644,"teria","micutes","stridia","hnospirales"
"abdbe368fbd4c7c608e05ef71713340a","S00PP-0016",8.32388098769741,"teria","micutes","stridia","hnospirales"
"abdbe368fbd4c7c608e05ef71713340a","S00PP-0024",8.2317461665888,"teria","micutes","stridia","hnospirales"
"abdbe368fbd4c7c608e05ef71713340a","S00PP-0012",7.8112055293867,"teria","micutes","stridia","hnospirales"
"ef26904830b91caa86a460c041c77fd4","S00PP-0018",7.77161249224683,"teria","rucomicrobiota","rucomicrobiae","rucomicrobiales"
"012ef658933550c9ae6719455ba247de","S00PP-0020",7.70334379064963,"teria","micutes","stridia","illospirales"
"012ef658933550c9ae6719455ba247de","S00PP-0007",7.48404487255718,"teria","micutes","stridia","illospirales"
"abdbe368fbd4c7c608e05ef71713340a","S00PP-0030",7.32044443656855,"teria","micutes","stridia","hnospirales"
"abdbe368fbd4c7c608e05ef71713340a","S00PP-0021",7.10615216253509,"teria","micutes","stridia","hnospirales"
"abdbe368fbd4c7c608e05ef71713340a","S00PP-0006",6.96409140369967,"teria","micutes","stridia","hnospirales"
"2bf1dfcdeca6629135f4014f138344ae","S00PP-0020",6.74879485806106,"teria","micutes","illi","tobacillales"
"012ef658933550c9ae6719455ba247de","S00PP-0009",6.48573885088408,"teria","micutes","stridia","illospirales"
"abdbe368fbd4c7c608e05ef71713340a","S00PP-0028",6.39668739905845,"teria","micutes","stridia","hnospirales"
"abdbe368fbd4c7c608e05ef71713340a","S00PP-0018",6.37017417397281,"teria","micutes","stridia","hnospirales"
"abdbe368fbd4c7c608e05ef71713340a","S00PP-0019",5.62439282122953,"teria","micutes","stridia","hnospirales"
"012ef658933550c9ae6719455ba247de","S00PP-0021",5.33139839177808,"teria","micutes","stridia","illospirales"
"012ef658933550c9ae6719455ba247de","S00PP-0019",5.2835205290338,"teria","micutes","stridia","illospirales"
"abdbe368fbd4c7c608e05ef71713340a","S00PP-0011",5.24769923634228,"teria","micutes","stridia","hnospirales"
"abdbe368fbd4c7c608e05ef71713340a","S00PP-0015",5.14238578204383,"teria","micutes","stridia","hnospirales"
"2bf1dfcdeca6629135f4014f138344ae","S00PP-0001",4.94817216226592,"teria","micutes","illi","tobacillales"
"9aa3baf0e1ca0d9f7c5b119e42c52153","S00PP-0002",4.94106382276224,"teria","pilobacterota","pylobacteria","pylobacterales"
"abdbe368fbd4c7c608e05ef71713340a","S00PP-0026",4.86474435196195,"teria","micutes","stridia","hnospirales"
"3ab61ffb86b753b43f425d630a87e7a1","S00PP-0001",4.86143696057103,"teria","nobacteria","pirivibrionia","tranaerophilales"
"abdbe368fbd4c7c608e05ef71713340a","S00PP-0025",4.85773968162501,"teria","micutes","stridia","hnospirales"
"012ef658933550c9ae6719455ba247de","S00PP-0011",4.42921480321128,"teria","micutes","stridia","illospirales"
"2bf1dfcdeca6629135f4014f138344ae","S00PP-0008",4.39538439138031,"teria","micutes","illi","tobacillales"
"2bf1dfcdeca6629135f4014f138344ae","S00PP-0003",4.31335236282905,"teria","micutes","illi","tobacillales"
"2bf1dfcdeca6629135f4014f138344ae","S00PP-0009",4.30451198086053,"teria","micutes","illi","tobacillales"
"2bf1dfcdeca6629135f4014f138344ae","S00PP-0002",4.29061973784132,"teria","micutes","illi","tobacillales"
"abdbe368fbd4c7c608e05ef71713340a","S00PP-0023",4.14838019322922,"teria","micutes","stridia","hnospirales"
"3ab61ffb86b753b43f425d630a87e7a1","S00PP-0021",4.12523195508398,"teria","nobacteria","pirivibrionia","tranaerophilales"
"183d7a6a20b38695342d58bce245f3be","S00PP-0005",3.93786358115451,"teria","rochaetota","rochaetia","rochaetales"
"012ef658933550c9ae6719455ba247de","S00PP-0012",3.76358084597723,"teria","micutes","stridia","illospirales"
"30d87e91be256a2b5f96b636ef04cda2","S00PP-0013",3.75434213453345,"teria","micutes","stridia","tostreptococcales-Tissierellales"
"2bf1dfcdeca6629135f4014f138344ae","S00PP-0019",3.55359364614047,"teria","micutes","illi","tobacillales"
"abdbe368fbd4c7c608e05ef71713340a","S00PP-0022",3.46345325478724,"teria","micutes","stridia","hnospirales"
"012ef658933550c9ae6719455ba247de","S00PP-0014",3.4209483555673,"teria","micutes","stridia","illospirales"
"012ef658933550c9ae6719455ba247de","S00PP-0005",3.35400285537727,"teria","micutes","stridia","illospirales"
"012ef658933550c9ae6719455ba247de","S00PP-0024",3.26423990145691,"teria","micutes","stridia","illospirales"
"2bf1dfcdeca6629135f4014f138344ae","S00PP-0017",3.21442662520018,"teria","micutes","illi","tobacillales"
"9aa3baf0e1ca0d9f7c5b119e42c52153","S00PP-0021",3.08559737355474,"teria","pilobacterota","pylobacteria","pylobacterales"
"abdbe368fbd4c7c608e05ef71713340a","S00PP-0014",3.05405127753563,"teria","micutes","stridia","hnospirales"
"012ef658933550c9ae6719455ba247de","S00PP-0008",2.95755678509027,"teria","micutes","stridia","illospirales"
"2bf1dfcdeca6629135f4014f138344ae","S00PP-0025",2.92155874090614,"teria","micutes","illi","tobacillales"
"ef26904830b91caa86a460c041c77fd4","S00PP-0030",2.8601300703514,"teria","rucomicrobiota","rucomicrobiae","rucomicrobiales"
"3ab61ffb86b753b43f425d630a87e7a1","S00PP-0018",2.8514911236652,"teria","nobacteria","pirivibrionia","tranaerophilales"
"abdbe368fbd4c7c608e05ef71713340a","S00PP-0001",2.82671444212203,"teria","micutes","stridia","hnospirales"
"012ef658933550c9ae6719455ba247de","S00PP-0026",2.70065398335315,"teria","micutes","stridia","illospirales"
"a1383ebba0a369e5027e252e0f7587c3","S00PP-0018",2.6821785995675,"teria","teobacteria","maproteobacteria","erobacterales"
"3ab61ffb86b753b43f425d630a87e7a1","S00PP-0011",2.60231055414137,"teria","nobacteria","pirivibrionia","tranaerophilales"
"012ef658933550c9ae6719455ba247de","S00PP-0001",2.58214961111348,"teria","micutes","stridia","illospirales"
"012ef658933550c9ae6719455ba247de","S00PP-0004",2.57463577740626,"teria","micutes","stridia","illospirales"
"abdbe368fbd4c7c608e05ef71713340a","S00PP-0017",2.54253022953559,"teria","micutes","stridia","hnospirales"
"3ab61ffb86b753b43f425d630a87e7a1","S00PP-0008",2.42610658124636,"teria","nobacteria","pirivibrionia","tranaerophilales"
"4f75b2e18a41280d3a51b71dfd217114","S00PP-0001",2.41721053903795,"teria","micutes","illi","9"
"012ef658933550c9ae6719455ba247de","S00PP-0029",2.33992767496277,"teria","micutes","stridia","illospirales"
"abdbe368fbd4c7c608e05ef71713340a","S00PP-0013",2.27929978267938,"teria","micutes","stridia","hnospirales"
"abdbe368fbd4c7c608e05ef71713340a","S00PP-0027",2.2143605870021,"teria","micutes","stridia","hnospirales"
"ef26904830b91caa86a460c041c77fd4","S00PP-0006",2.16286314785279,"teria","rucomicrobiota","rucomicrobiae","rucomicrobiales"
"012ef658933550c9ae6719455ba247de","S00PP-0013",2.10989236639915,"teria","micutes","stridia","illospirales"
"012ef658933550c9ae6719455ba247de","S00PP-0016",2.10801849751331,"teria","micutes","stridia","illospirales"
"30d87e91be256a2b5f96b636ef04cda2","S00PP-0001",1.97358131069687,"teria","micutes","stridia","tostreptococcales-Tissierellales"
"2bf1dfcdeca6629135f4014f138344ae","S00PP-0021",1.95318075843365,"teria","micutes","illi","tobacillales"
"c1f83bd0eac0f5b9b6bb409c55d831e0","S00PP-0018",1.86579048832414,"teria","teobacteria","maproteobacteria","kholderiales"
"8bd14caf6a3b2664d15ef6c5d7a23eef","S00PP-0002",1.86218509591574,"teria","ulfobacterota","ulfovibrionia","ulfovibrionales"
"8bd14caf6a3b2664d15ef6c5d7a23eef","S00PP-0009",1.81862360285597,"teria","ulfobacterota","ulfovibrionia","ulfovibrionales"
"c1f83bd0eac0f5b9b6bb409c55d831e0","S00PP-0002",1.81430976986826,"teria","teobacteria","maproteobacteria","kholderiales"
"8bd14caf6a3b2664d15ef6c5d7a23eef","S00PP-0028",1.75938971169376,"teria","ulfobacterota","ulfovibrionia","ulfovibrionales"
"3ab61ffb86b753b43f425d630a87e7a1","S00PP-0009",1.74386004261523,"teria","nobacteria","pirivibrionia","tranaerophilales"
"9aa3baf0e1ca0d9f7c5b119e42c52153","S00PP-0006",1.74251345268085,"teria","pilobacterota","pylobacteria","pylobacterales"
"667c7ff5d8981b1c1eb8efc23b295ca2","S00PP-0002",1.73506785089312,"teria","micutes","ativicutes","daminococcales"
"9aa3baf0e1ca0d9f7c5b119e42c52153","S00PP-0028",1.69925432115735,"teria","pilobacterota","pylobacteria","pylobacterales"
"efe7cb6441176642e881f2abe0b4566f","S00PP-0014",1.66424514595166,"teria","micutes","illi","sipelotrichales"
"2bf1dfcdeca6629135f4014f138344ae","S00PP-0016",1.65605095541401,"teria","micutes","illi","tobacillales"
"012ef658933550c9ae6719455ba247de","S00PP-0028",1.61850108243703,"teria","micutes","stridia","illospirales"
"c1f83bd0eac0f5b9b6bb409c55d831e0","S00PP-0028",1.6030376962991,"teria","teobacteria","maproteobacteria","kholderiales"
"c1f83bd0eac0f5b9b6bb409c55d831e0","S00PP-0003",1.60248384996745,"teria","teobacteria","maproteobacteria","kholderiales"
"c1f83bd0eac0f5b9b6bb409c55d831e0","S00PP-0029",1.55498830036163,"teria","teobacteria","maproteobacteria","kholderiales"
"2bf1dfcdeca6629135f4014f138344ae","S00PP-0007",1.51821461132913,"teria","micutes","illi","tobacillales"
"fe1644129eb6fb34078f939c04915813","S00PP-0010",1.5173473869126,"teria","teobacteria","haproteobacteria","dospirillales"
"183d7a6a20b38695342d58bce245f3be","S00PP-0020",1.48442880097942,"teria","rochaetota","rochaetia","rochaetales"
"9aa3baf0e1ca0d9f7c5b119e42c52153","S00PP-0027",1.47915210808293,"teria","pilobacterota","pylobacteria","pylobacterales"
"218d7fe9eb2b82133c504cb4c7ab8076","S00PP-0001",1.45885765473702,"teria","micutes","stridia","stridia_UCG-014"
"30d87e91be256a2b5f96b636ef04cda2","S00PP-0005",1.44686654307571,"teria","micutes","stridia","tostreptococcales-Tissierellales"
"c1f83bd0eac0f5b9b6bb409c55d831e0","S00PP-0004",1.38364779874214,"teria","teobacteria","maproteobacteria","kholderiales"
"c1f83bd0eac0f5b9b6bb409c55d831e0","S00PP-0023",1.37245475551696,"teria","teobacteria","maproteobacteria","kholderiales"
"c1f83bd0eac0f5b9b6bb409c55d831e0","S00PP-0030",1.3715865393135,"teria","teobacteria","maproteobacteria","kholderiales"
"777bf3ba74100b7a4dbd872959a84eeb","S00PP-0018",1.32097296028699,"haea","yarchaeota","hanobacteria","hanobacteriales"
"fe1644129eb6fb34078f939c04915813","S00PP-0008",1.30678509027373,"teria","teobacteria","haproteobacteria","dospirillales"
"9aa3baf0e1ca0d9f7c5b119e42c52153","S00PP-0008",1.29040477577169,"teria","pilobacterota","pylobacteria","pylobacterales"
"012ef658933550c9ae6719455ba247de","S00PP-0018",1.28074028129348,"teria","micutes","stridia","illospirales"
"abdbe368fbd4c7c608e05ef71713340a","S00PP-0008",1.27220442632499,"teria","micutes","stridia","hnospirales"
"183d7a6a20b38695342d58bce245f3be","S00PP-0012",1.24979288470187,"teria","rochaetota","rochaetia","rochaetales"
"012ef658933550c9ae6719455ba247de","S00PP-0022",1.24528656351901,"teria","micutes","stridia","illospirales"
"9aa3baf0e1ca0d9f7c5b119e42c52153","S00PP-0030",1.21564388368096,"teria","pilobacterota","pylobacteria","pylobacterales"
"8bd14caf6a3b2664d15ef6c5d7a23eef","S00PP-0005",1.18476848004432,"teria","ulfobacterota","ulfovibrionia","ulfovibrionales"
"efe7cb6441176642e881f2abe0b4566f","S00PP-0001",1.17874560991909,"teria","micutes","illi","sipelotrichales"
"183d7a6a20b38695342d58bce245f3be","S00PP-0026",1.14595719381688,"teria","rochaetota","rochaetia","rochaetales"
"8bd14caf6a3b2664d15ef6c5d7a23eef","S00PP-0012",1.13144128577177,"teria","ulfobacterota","ulfovibrionia","ulfovibrionales"
"efe7cb6441176642e881f2abe0b4566f","S00PP-0015",1.1304624960162,"teria","micutes","illi","sipelotrichales"
"2bf1dfcdeca6629135f4014f138344ae","S00PP-0014",1.13004300033755,"teria","micutes","illi","tobacillales"
"8bd14caf6a3b2664d15ef6c5d7a23eef","S00PP-0027",1.12974609829956,"teria","ulfobacterota","ulfovibrionia","ulfovibrionales"
"183d7a6a20b38695342d58bce245f3be","S00PP-0014",1.12417264708904,"teria","rochaetota","rochaetia","rochaetales"
"667c7ff5d8981b1c1eb8efc23b295ca2","S00PP-0025",1.11359216307714,"teria","micutes","ativicutes","daminococcales"
"2bf1dfcdeca6629135f4014f138344ae","S00PP-0029",1.10614762816422,"teria","micutes","illi","tobacillales"
"c1f83bd0eac0f5b9b6bb409c55d831e0","S00PP-0006",1.10155469763143,"teria","teobacteria","maproteobacteria","kholderiales"
"2bf1dfcdeca6629135f4014f138344ae","S00PP-0023",1.09951460074748,"teria","micutes","illi","tobacillales"
"9aa3baf0e1ca0d9f7c5b119e42c52153","S00PP-0014",1.088950527598,"teria","pilobacterota","pylobacteria","pylobacterales"
"667c7ff5d8981b1c1eb8efc23b295ca2","S00PP-0026",1.08353151010702,"teria","micutes","ativicutes","daminococcales"
"183d7a6a20b38695342d58bce245f3be","S00PP-0007",1.07820985452095,"teria","rochaetota","rochaetia","rochaetales"
"2bf1dfcdeca6629135f4014f138344ae","S00PP-0028",1.0669736435174,"teria","micutes","illi","tobacillales"
"30d87e91be256a2b5f96b636ef04cda2","S00PP-0002",1.05325717304454,"teria","micutes","stridia","tostreptococcales-Tissierellales"
"2bf1dfcdeca6629135f4014f138344ae","S00PP-0026",1.04637336504162,"teria","micutes","illi","tobacillales"
"fe1644129eb6fb34078f939c04915813","S00PP-0014",1.03171458342506,"teria","teobacteria","haproteobacteria","dospirillales"
"012ef658933550c9ae6719455ba247de","S00PP-0030",1.0029948078184,"teria","micutes","stridia","illospirales"
"2bf1dfcdeca6629135f4014f138344ae","S00PP-0018",1.00246425158835,"teria","micutes","illi","tobacillales"
"9aa3baf0e1ca0d9f7c5b119e42c52153","S00PP-0015",0.986108246939502,"teria","pilobacterota","pylobacteria","pylobacterales"
"30d87e91be256a2b5f96b636ef04cda2","S00PP-0028",0.982784096766434,"teria","micutes","stridia","tostreptococcales-Tissierellales"
"30d87e91be256a2b5f96b636ef04cda2","S00PP-0018",0.975642465592678,"teria","micutes","stridia","tostreptococcales-Tissierellales"
"2bf1dfcdeca6629135f4014f138344ae","S00PP-0030",0.946288387588382,"teria","micutes","illi","tobacillales"
"4f75b2e18a41280d3a51b71dfd217114","S00PP-0010",0.944224857268335,"teria","micutes","illi","9"
"012ef658933550c9ae6719455ba247de","S00PP-0002",0.93109254795787,"teria","micutes","stridia","illospirales"
"2bf1dfcdeca6629135f4014f138344ae","S00PP-0006",0.904795265848823,"teria","micutes","illi","tobacillales"
"012ef658933550c9ae6719455ba247de","S00PP-0025",0.901822372686019,"teria","micutes","stridia","illospirales"
"8bd14caf6a3b2664d15ef6c5d7a23eef","S00PP-0007",0.899829547706822,"teria","ulfobacterota","ulfovibrionia","ulfovibrionales"
"2717c55a33435a4cf9c4953837bac9f4","S00PP-0018",0.896853469230382,"teria","micutes","stridia","stridia_vadinBB60_group"
"012ef658933550c9ae6719455ba247de","S00PP-0010",0.891523935002196,"teria","micutes","stridia","illospirales"
"3ab61ffb86b753b43f425d630a87e7a1","S00PP-0015",0.886747530042556,"teria","nobacteria","pirivibrionia","tranaerophilales"
"8bd14caf6a3b2664d15ef6c5d7a23eef","S00PP-0024",0.881366011128573,"teria","ulfobacterota","ulfovibrionia","ulfovibrionales"
"012ef658933550c9ae6719455ba247de","S00PP-0006",0.863058416682815,"teria","micutes","stridia","illospirales"
"c1f83bd0eac0f5b9b6bb409c55d831e0","S00PP-0015",0.847378189385276,"teria","teobacteria","maproteobacteria","kholderiales"
"183d7a6a20b38695342d58bce245f3be","S00PP-0009",0.831744607678218,"teria","rochaetota","rochaetia","rochaetales"
"8bd14caf6a3b2664d15ef6c5d7a23eef","S00PP-0026",0.827883472057075,"teria","ulfobacterota","ulfovibrionia","ulfovibrionales"
"012ef658933550c9ae6719455ba247de","S00PP-0027",0.813824831120429,"teria","micutes","stridia","illospirales"
"ae71c2e538a51e571a12a1d35ecb3975","S00PP-0011",0.806735852751126,"teria","simicrobiota","simicrobia","simicrobiales"
"777bf3ba74100b7a4dbd872959a84eeb","S00PP-0022",0.797090752942124,"haea","yarchaeota","hanobacteria","hanobacteriales"
"012ef658933550c9ae6719455ba247de","S00PP-0017",0.779817578387913,"teria","micutes","stridia","illospirales"
"9aa3baf0e1ca0d9f7c5b119e42c52153","S00PP-0009",0.770064670479608,"teria","pilobacterota","pylobacteria","pylobacterales"
"30d87e91be256a2b5f96b636ef04cda2","S00PP-0009",0.762588314455534,"teria","micutes","stridia","tostreptococcales-Tissierellales"
"012ef658933550c9ae6719455ba247de","S00PP-0003",0.757841320713773,"teria","micutes","stridia","illospirales"
"efe7cb6441176642e881f2abe0b4566f","S00PP-0026",0.75653983353151,"teria","micutes","illi","sipelotrichales"
"8bd14caf6a3b2664d15ef6c5d7a23eef","S00PP-0021",0.756530427748965,"teria","ulfobacterota","ulfovibrionia","ulfovibrionales"
"777bf3ba74100b7a4dbd872959a84eeb","S00PP-0001",0.755022821311266,"haea","yarchaeota","hanobacteria","hanobacteriales"
"9aa3baf0e1ca0d9f7c5b119e42c52153","S00PP-0003",0.747825796651477,"teria","pilobacterota","pylobacteria","pylobacterales"
"3ab61ffb86b753b43f425d630a87e7a1","S00PP-0020",0.744127324202311,"teria","nobacteria","pirivibrionia","tranaerophilales"
"9aa3baf0e1ca0d9f7c5b119e42c52153","S00PP-0013",0.742654733996133,"teria","pilobacterota","pylobacteria","pylobacterales"
"8bd14caf6a3b2664d15ef6c5d7a23eef","S00PP-0030",0.742499689886764,"teria","ulfobacterota","ulfovibrionia","ulfovibrionales"
"9aa3baf0e1ca0d9f7c5b119e42c52153","S00PP-0018",0.715806413759576,"teria","pilobacterota","pylobacteria","pylobacterales"
"4f75b2e18a41280d3a51b71dfd217114","S00PP-0008",0.709813628421666,"teria","micutes","illi","9"
"efe7cb6441176642e881f2abe0b4566f","S00PP-0002",0.706573777528312,"teria","micutes","illi","sipelotrichales"
"8bd14caf6a3b2664d15ef6c5d7a23eef","S00PP-0018",0.705748244011198,"teria","ulfobacterota","ulfovibrionia","ulfovibrionales"
"183d7a6a20b38695342d58bce245f3be","S00PP-0024",0.702969035382067,"teria","rochaetota","rochaetia","rochaetales"
"c1f83bd0eac0f5b9b6bb409c55d831e0","S00PP-0026",0.701545778834721,"teria","teobacteria","maproteobacteria","kholderiales"
"3ab61ffb86b753b43f425d630a87e7a1","S00PP-0006",0.699092223530639,"teria","nobacteria","pirivibrionia","tranaerophilales"
"2bf1dfcdeca6629135f4014f138344ae","S00PP-0022",0.689738462983589,"teria","micutes","illi","tobacillales"
"efe7cb6441176642e881f2abe0b4566f","S00PP-0023",0.674596405254098,"teria","micutes","illi","sipelotrichales"
"183d7a6a20b38695342d58bce245f3be","S00PP-0022",0.662900390493955,"teria","rochaetota","rochaetia","rochaetales"
"9aa3baf0e1ca0d9f7c5b119e42c52153","S00PP-0023",0.660639238248841,"teria","pilobacterota","pylobacteria","pylobacterales"
"218d7fe9eb2b82133c504cb4c7ab8076","S00PP-0020",0.656132833422603,"teria","micutes","stridia","stridia_UCG-014"
"8bd14caf6a3b2664d15ef6c5d7a23eef","S00PP-0029",0.653052542012338,"teria","ulfobacterota","ulfovibrionia","ulfovibrionales"
"8bd14caf6a3b2664d15ef6c5d7a23eef","S00PP-0025",0.643953036087301,"teria","ulfobacterota","ulfovibrionia","ulfovibrionales"
"8bd14caf6a3b2664d15ef6c5d7a23eef","S00PP-0020",0.638916520009182,"teria","ulfobacterota","ulfovibrionia","ulfovibrionales"
"9aa3baf0e1ca0d9f7c5b119e42c52153","S00PP-0012",0.610694250479324,"teria","pilobacterota","pylobacteria","pylobacterales"
"d28313e755b0d735a3f5db93b60345b9","S00PP-0022",0.609224245514687,"teria","micutes","stridia","stridiales"
"4f75b2e18a41280d3a51b71dfd217114","S00PP-0014",0.60611397290832,"teria","micutes","illi","9"
"30d87e91be256a2b5f96b636ef04cda2","S00PP-0020",0.602570969469738,"teria","micutes","stridia","tostreptococcales-Tissierellales"
"032fc3717d8136fccddb555b0aa201a3","S00PP-0012",0.596492058607712,"teria","micutes","stridia","oglobales"
"2bf1dfcdeca6629135f4014f138344ae","S00PP-0013",0.588647991923202,"teria","micutes","illi","tobacillales"
"8bd14caf6a3b2664d15ef6c5d7a23eef","S00PP-0006",0.561956861985183,"teria","ulfobacterota","ulfovibrionia","ulfovibrionales"
"3ab61ffb86b753b43f425d630a87e7a1","S00PP-0023",0.547431105872866,"teria","nobacteria","pirivibrionia","tranaerophilales"
"667c7ff5d8981b1c1eb8efc23b295ca2","S00PP-0012",0.537316259142661,"teria","micutes","ativicutes","daminococcales"
"d28313e755b0d735a3f5db93b60345b9","S00PP-0024",0.535190927239519,"teria","micutes","stridia","stridiales"
"efe7cb6441176642e881f2abe0b4566f","S00PP-0029",0.53392895128696,"teria","micutes","illi","sipelotrichales"
"9aa3baf0e1ca0d9f7c5b119e42c52153","S00PP-0026",0.530618311533888,"teria","pilobacterota","pylobacteria","pylobacterales"
"a1383ebba0a369e5027e252e0f7587c3","S00PP-0029",0.529674537332482,"teria","teobacteria","maproteobacteria","erobacterales"
"7564945495f0d840065ec35193e54153","S00PP-0027",0.528476589797344,"teria","micutes","illi","oplasmatales"
"c1f83bd0eac0f5b9b6bb409c55d831e0","S00PP-0027",0.527020731423247,"teria","teobacteria","maproteobacteria","kholderiales"
"fe1644129eb6fb34078f939c04915813","S00PP-0007",0.525230903397154,"teria","teobacteria","haproteobacteria","dospirillales"
"183d7a6a20b38695342d58bce245f3be","S00PP-0013",0.520200551001899,"teria","rochaetota","rochaetia","rochaetales"
"9aa3baf0e1ca0d9f7c5b119e42c52153","S00PP-0007",0.513338882942879,"teria","pilobacterota","pylobacteria","pylobacterales"
